Bug,Configuration,Id,TimeToBug,BugFound
B1,DelayProposal,1,359,1
B1,DelayProposal,2,188,1
B1,DelayProposal,3,641,1
B1,DelayProposal,4,597,1
B1,DelayProposal,5,435,1
B1,DelayProposal,6,627,1
B1,DelayProposal,7,306,1
B1,DelayProposal,8,219,1
B1,DelayProposal,9,185,1
B1,DelayProposal,10,905,1
B1,DelayRandom,1,317,1
B1,DelayRandom,2,234,1
B1,DelayRandom,3,111,1
B1,DelayRandom,4,259,1
B1,DelayRandom,5,1194,1
B1,DelayRandom,6,316,1
B1,DelayRandom,7,112,1
B1,DelayRandom,8,197,1
B1,DelayRandom,9,98,1
B1,DelayRandom,10,216,1
B1,DelayTime,1,1150,1
B1,DelayTime,2,209,1
B1,DelayTime,3,381,1
B1,DelayTime,4,114,1
B1,DelayTime,5,1107,1
B1,DelayTime,6,174,1
B1,DelayTime,7,104,1
B1,DelayTime,8,67,1
B1,DelayTime,9,541,1
B1,DelayTime,10,202,1
B1,PriorityProposal,1,0,0
B1,PriorityProposal,2,0,0
B1,PriorityProposal,3,201,1
B1,PriorityProposal,4,3339,1
B1,PriorityProposal,5,0,0
B1,PriorityProposal,6,93,1
B1,PriorityProposal,7,1581,1
B1,PriorityProposal,8,2098,1
B1,PriorityProposal,9,2674,1
B1,PriorityProposal,10,0,0
B1,PriorityRandom,1,0,0
B1,PriorityRandom,2,0,0
B1,PriorityRandom,3,0,0
B1,PriorityRandom,4,0,0
B1,PriorityRandom,5,0,0
B1,PriorityRandom,6,0,0
B1,PriorityRandom,7,1694,1
B1,PriorityRandom,8,0,0
B1,PriorityRandom,9,0,0
B1,PriorityRandom,10,0,0
B1,PriorityTime,1,1164,1
B1,PriorityTime,2,0,0
B1,PriorityTime,3,204,1
B1,PriorityTime,4,0,0
B1,PriorityTime,5,1006,1
B1,PriorityTime,6,0,0
B1,PriorityTime,7,0,0
B1,PriorityTime,8,0,0
B1,PriorityTime,9,0,0
B1,PriorityTime,10,0,0
B2,DelayProposal,1,0,0
B2,DelayProposal,2,1895,1
B2,DelayProposal,3,0,0
B2,DelayProposal,4,344,1
B2,DelayProposal,5,0,0
B2,DelayProposal,6,0,0
B2,DelayProposal,7,1879,1
B2,DelayProposal,8,3214,1
B2,DelayProposal,9,2669,1
B2,DelayProposal,10,0,0
B2,DelayRandom,1,3175,1
B2,DelayRandom,2,0,0
B2,DelayRandom,3,0,0
B2,DelayRandom,4,0,0
B2,DelayRandom,5,0,0
B2,DelayRandom,6,0,0
B2,DelayRandom,7,1796,1
B2,DelayRandom,8,0,0
B2,DelayRandom,9,3550,1
B2,DelayRandom,10,0,0
B2,DelayTime,1,1866,1
B2,DelayTime,2,3400,1
B2,DelayTime,3,0,0
B2,DelayTime,4,2206,1
B2,DelayTime,5,0,0
B2,DelayTime,6,1676,1
B2,DelayTime,7,3243,1
B2,DelayTime,8,457,1
B2,DelayTime,9,1941,1
B2,DelayTime,10,2612,1
B2,PriorityProposal,1,0,0
B2,PriorityProposal,2,0,0
B2,PriorityProposal,3,0,0
B2,PriorityProposal,4,0,0
B2,PriorityProposal,5,0,0
B2,PriorityProposal,6,0,0
B2,PriorityProposal,7,0,0
B2,PriorityProposal,8,0,0
B2,PriorityProposal,9,0,0
B2,PriorityProposal,10,0,0
B2,PriorityRandom,1,0,0
B2,PriorityRandom,2,0,0
B2,PriorityRandom,3,0,0
B2,PriorityRandom,4,0,0
B2,PriorityRandom,5,0,0
B2,PriorityRandom,6,0,0
B2,PriorityRandom,7,0,0
B2,PriorityRandom,8,0,0
B2,PriorityRandom,9,0,0
B2,PriorityRandom,10,0,0
B2,PriorityTime,1,0,0
B2,PriorityTime,2,0,0
B2,PriorityTime,3,0,0
B2,PriorityTime,4,0,0
B2,PriorityTime,5,0,0
B2,PriorityTime,6,0,0
B2,PriorityTime,7,0,0
B2,PriorityTime,8,0,0
B2,PriorityTime,9,0,0
B2,PriorityTime,10,0,0
B3,DelayProposal,1,1377,1
B3,DelayProposal,2,1061,1
B3,DelayProposal,3,0,0
B3,DelayProposal,4,0,0
B3,DelayProposal,5,3250,1
B3,DelayProposal,6,345,1
B3,DelayProposal,7,0,0
B3,DelayProposal,8,0,0
B3,DelayProposal,9,1024,1
B3,DelayProposal,10,0,0
B3,DelayRandom,1,0,0
B3,DelayRandom,2,827,1
B3,DelayRandom,3,1117,1
B3,DelayRandom,4,279,1
B3,DelayRandom,5,0,0
B3,DelayRandom,6,374,1
B3,DelayRandom,7,1043,1
B3,DelayRandom,8,2427,1
B3,DelayRandom,9,395,1
B3,DelayRandom,10,0,0
B3,DelayTime,1,431,1
B3,DelayTime,2,0,0
B3,DelayTime,3,3238,1
B3,DelayTime,4,0,0
B3,DelayTime,5,2024,1
B3,DelayTime,6,1767,1
B3,DelayTime,7,829,1
B3,DelayTime,8,0,0
B3,DelayTime,9,0,0
B3,DelayTime,10,235,1
B3,PriorityProposal,1,0,0
B3,PriorityProposal,2,0,0
B3,PriorityProposal,3,2893,1
B3,PriorityProposal,4,0,0
B3,PriorityProposal,5,0,0
B3,PriorityProposal,6,0,0
B3,PriorityProposal,7,0,0
B3,PriorityProposal,8,0,0
B3,PriorityProposal,9,0,0
B3,PriorityProposal,10,0,0
B3,PriorityRandom,1,0,0
B3,PriorityRandom,2,0,0
B3,PriorityRandom,3,0,0
B3,PriorityRandom,4,0,0
B3,PriorityRandom,5,0,0
B3,PriorityRandom,6,0,0
B3,PriorityRandom,7,0,0
B3,PriorityRandom,8,0,0
B3,PriorityRandom,9,0,0
B3,PriorityRandom,10,0,0
B3,PriorityTime,1,0,0
B3,PriorityTime,2,0,0
B3,PriorityTime,3,0,0
B3,PriorityTime,4,0,0
B3,PriorityTime,5,0,0
B3,PriorityTime,6,0,0
B3,PriorityTime,7,0,0
B3,PriorityTime,8,0,0
B3,PriorityTime,9,0,0
B3,PriorityTime,10,0,0
