Bug,Configuration,Id,Time,Found
B1,delay-proposal,1,359,1
B1,delay-proposal,2,188,1
B1,delay-proposal,3,641,1
B1,delay-proposal,4,597,1
B1,delay-proposal,5,435,1
B1,delay-proposal,6,627,1
B1,delay-proposal,7,306,1
B1,delay-proposal,8,219,1
B1,delay-proposal,9,185,1
B1,delay-proposal,10,905,1
B1,delay-proposal,11,715,1
B1,delay-proposal,12,314,1
B1,delay-proposal,13,104,1
B1,delay-proposal,14,289,1
B1,delay-proposal,15,176,1
B1,delay-proposal,16,69,1
B1,delay-proposal,17,72,1
B1,delay-proposal,18,147,1
B1,delay-proposal,19,235,1
B1,delay-proposal,20,1629,1
B1,delay-proposal,21,483,1
B1,delay-proposal,22,174,1
B1,delay-proposal,23,358,1
B1,delay-proposal,24,128,1
B1,delay-proposal,25,1044,1
B1,delay-proposal,26,402,1
B1,delay-proposal,27,84,1
B1,delay-proposal,28,66,1
B1,delay-proposal,29,462,1
B1,delay-proposal,30,188,1
B1,delay-rand,1,317,1
B1,delay-rand,2,234,1
B1,delay-rand,3,111,1
B1,delay-rand,4,259,1
B1,delay-rand,5,1194,1
B1,delay-rand,6,316,1
B1,delay-rand,7,112,1
B1,delay-rand,8,197,1
B1,delay-rand,9,98,1
B1,delay-rand,10,216,1
B1,delay-rand,11,558,1
B1,delay-rand,12,93,1
B1,delay-rand,13,274,1
B1,delay-rand,14,748,1
B1,delay-rand,15,165,1
B1,delay-rand,16,519,1
B1,delay-rand,17,185,1
B1,delay-rand,18,1500,1
B1,delay-rand,19,90,1
B1,delay-rand,20,178,1
B1,delay-rand,21,170,1
B1,delay-rand,22,63,1
B1,delay-rand,23,472,1
B1,delay-rand,24,1307,1
B1,delay-rand,25,74,1
B1,delay-rand,26,84,1
B1,delay-rand,27,756,1
B1,delay-rand,28,79,1
B1,delay-rand,29,48,1
B1,delay-rand,30,172,1
B1,delay-time,1,1150,1
B1,delay-time,2,209,1
B1,delay-time,3,381,1
B1,delay-time,4,114,1
B1,delay-time,5,1107,1
B1,delay-time,6,174,1
B1,delay-time,7,104,1
B1,delay-time,8,67,1
B1,delay-time,9,541,1
B1,delay-time,10,202,1
B1,delay-time,11,641,1
B1,delay-time,12,462,1
B1,delay-time,13,1009,1
B1,delay-time,14,96,1
B1,delay-time,15,319,1
B1,delay-time,16,414,1
B1,delay-time,17,237,1
B1,delay-time,18,64,1
B1,delay-time,19,188,1
B1,delay-time,20,922,1
B1,delay-time,21,284,1
B1,delay-time,22,79,1
B1,delay-time,23,166,1
B1,delay-time,24,191,1
B1,delay-time,25,308,1
B1,delay-time,26,141,1
B1,delay-time,27,253,1
B1,delay-time,28,182,1
B1,delay-time,29,299,1
B1,delay-time,30,376,1
B1,priority-proposal,1,0,0
B1,priority-proposal,2,0,0
B1,priority-proposal,3,201,1
B1,priority-proposal,4,3339,1
B1,priority-proposal,5,0,0
B1,priority-proposal,6,93,1
B1,priority-proposal,7,1581,1
B1,priority-proposal,8,2098,1
B1,priority-proposal,9,2674,1
B1,priority-proposal,10,0,0
B1,priority-rand,1,0,0
B1,priority-rand,2,0,0
B1,priority-rand,3,0,0
B1,priority-rand,4,0,0
B1,priority-rand,5,0,0
B1,priority-rand,6,0,0
B1,priority-rand,7,1694,1
B1,priority-rand,8,0,0
B1,priority-rand,9,0,0
B1,priority-rand,10,0,0
B1,priority-time,1,1164,1
B1,priority-time,2,0,0
B1,priority-time,3,204,1
B1,priority-time,4,0,0
B1,priority-time,5,1006,1
B1,priority-time,6,0,0
B1,priority-time,7,0,0
B1,priority-time,8,0,0
B1,priority-time,9,0,0
B1,priority-time,10,0,0
B2,delay-proposal,1,0,0
B2,delay-proposal,2,1895,1
B2,delay-proposal,3,0,0
B2,delay-proposal,4,344,1
B2,delay-proposal,5,0,0
B2,delay-proposal,6,0,0
B2,delay-proposal,7,1879,1
B2,delay-proposal,8,3214,1
B2,delay-proposal,9,2669,1
B2,delay-proposal,10,0,0
B2,delay-proposal,11,0,0
B2,delay-proposal,12,0,0
B2,delay-proposal,13,3237,1
B2,delay-proposal,14,2978,1
B2,delay-proposal,15,506,1
B2,delay-proposal,16,3081,1
B2,delay-proposal,17,0,0
B2,delay-proposal,18,0,0
B2,delay-proposal,19,2384,1
B2,delay-proposal,20,0,0
B2,delay-proposal,21,0,0
B2,delay-proposal,22,560,1
B2,delay-proposal,23,0,0
B2,delay-proposal,24,0,0
B2,delay-proposal,25,2326,1
B2,delay-proposal,26,1265,1
B2,delay-proposal,27,723,1
B2,delay-proposal,28,160,1
B2,delay-proposal,29,541,1
B2,delay-proposal,30,625,1
B2,delay-rand,1,3175,1
B2,delay-rand,2,0,0
B2,delay-rand,3,0,0
B2,delay-rand,4,0,0
B2,delay-rand,5,0,0
B2,delay-rand,6,0,0
B2,delay-rand,7,1796,1
B2,delay-rand,8,0,0
B2,delay-rand,9,3550,1
B2,delay-rand,10,0,0
B2,delay-rand,11,0,0
B2,delay-rand,12,0,0
B2,delay-rand,13,0,0
B2,delay-rand,14,0,0
B2,delay-rand,15,331,1
B2,delay-rand,16,446,1
B2,delay-rand,17,0,0
B2,delay-rand,18,338,1
B2,delay-rand,19,0,0
B2,delay-rand,20,0,0
B2,delay-rand,21,0,0
B2,delay-rand,22,0,0
B2,delay-rand,23,0,0
B2,delay-rand,24,1771,1
B2,delay-rand,25,0,0
B2,delay-rand,26,0,0
B2,delay-rand,27,464,1
B2,delay-rand,28,0,0
B2,delay-rand,29,2256,1
B2,delay-rand,30,2621,1
B2,delay-time,1,1866,1
B2,delay-time,2,3400,1
B2,delay-time,3,0,0
B2,delay-time,4,2206,1
B2,delay-time,5,0,0
B2,delay-time,6,1676,1
B2,delay-time,7,3243,1
B2,delay-time,8,457,1
B2,delay-time,9,1941,1
B2,delay-time,10,2612,1
B2,delay-time,11,0,0
B2,delay-time,12,0,0
B2,delay-time,13,0,0
B2,delay-time,14,1025,1
B2,delay-time,15,0,0
B2,delay-time,16,1870,1
B2,delay-time,17,2107,1
B2,delay-time,18,3718,1
B2,delay-time,19,0,0
B2,delay-time,20,2950,1
B2,delay-time,21,781,1
B2,delay-time,22,1078,1
B2,delay-time,23,2071,1
B2,delay-time,24,828,1
B2,delay-time,25,654,1
B2,delay-time,26,0,0
B2,delay-time,27,0,0
B2,delay-time,28,1185,1
B2,delay-time,29,2666,1
B2,delay-time,30,1327,1
B2,priority-proposal,1,0,0
B2,priority-proposal,2,0,0
B2,priority-proposal,3,0,0
B2,priority-proposal,4,0,0
B2,priority-proposal,5,0,0
B2,priority-proposal,6,0,0
B2,priority-proposal,7,0,0
B2,priority-proposal,8,0,0
B2,priority-proposal,9,0,0
B2,priority-proposal,10,0,0
B2,priority-rand,1,0,0
B2,priority-rand,2,0,0
B2,priority-rand,3,0,0
B2,priority-rand,4,0,0
B2,priority-rand,5,0,0
B2,priority-rand,6,0,0
B2,priority-rand,7,0,0
B2,priority-rand,8,0,0
B2,priority-rand,9,0,0
B2,priority-rand,10,0,0
B2,priority-time,1,0,0
